Commit SHA,Java File,Old function signature,New function signature
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,"highlightValue ( Highlight  high, boolean  callListener )","highlightValue ( float  x, float  y, int  dataSetIndex )"
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,"highlightValue ( Highlight  high, boolean  callListener )","highlightValue ( float  x, int  dataSetIndex, boolean  callListener )"
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,"highlightValue ( Highlight  high, boolean  callListener )","highlightValue ( float  x, float  y, int  dataSetIndex, boolean  callListener )"
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,"animateXY ( int  durationMillisX, int  durationMillisY )","animateXY ( int  durationMillisX, int  durationMillisY, EasingFunction  easingX, EasingFunction  easingY )"
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,"animateXY ( int  durationMillisX, int  durationMillisY )","animateXY ( int  durationMillisX, int  durationMillisY, EasingFunction  easing )"
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,animateX ( int  durationMillis ),"animateX ( int  durationMillis, EasingFunction  easing )"
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,animateY ( int  durationMillis ),"animateY ( int  durationMillis, EasingFunction  easing )"
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,saveToGallery ( String  fileName ),"saveToGallery ( String  fileName, String  subFolderPath, String  fileDescription, Bitmap  format, int  quality )"
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,saveToGallery ( String  fileName ),"saveToGallery ( String  fileName, int  quality )"
fc0e2342984758849384199f0225e0c6b5555168,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,"highlightValue ( Highlight  high, boolean  callListener )","highlightValue ( float  x, float  y, int  dataSetIndex )"
fc0e2342984758849384199f0225e0c6b5555168,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,"highlightValue ( Highlight  high, boolean  callListener )","highlightValue ( float  x, int  dataSetIndex, boolean  callListener )"
fc0e2342984758849384199f0225e0c6b5555168,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,"highlightValue ( Highlight  high, boolean  callListener )","highlightValue ( float  x, float  y, int  dataSetIndex, boolean  callListener )"
fc0e2342984758849384199f0225e0c6b5555168,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,"animateXY ( int  durationMillisX, int  durationMillisY )","animateXY ( int  durationMillisX, int  durationMillisY, EasingFunction  easingX, EasingFunction  easingY )"
fc0e2342984758849384199f0225e0c6b5555168,MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java,"animateXY ( int  durationMillisX, int  durationMillisY )","animateXY ( int  durationMillisX, int  durationMillisY, EasingFunction  easing )"
