Commit SHA,Java File,Old function signature,New function signature
922fd62da6db31426bdd39e05f7b6cfefd432c3d,throttling/src/main/java/com/iluwatar/throttling/App.java,makeServiceCalls ( Tenant  tenant ),"makeServiceCalls ( Tenant  tenant, CallsCount  callsCount )"
d54e29051f85c6f2dbcabc9d04ac931309a0b602,monitor-object/src/main/java/com/iluwatar/monitor/AbstractMonitor.java,makeCondition ( String  name ),"makeCondition ( String  name, Assertion  prop )"
ec28b1250d24510ed5c398ed8bddfc48e1262e62,abstract-factory/src/main/java/com/iluwatar/abstractfactory/App.java,getKing (  ),getKing ( KingdomFactory  factory )
ec28b1250d24510ed5c398ed8bddfc48e1262e62,abstract-factory/src/main/java/com/iluwatar/abstractfactory/App.java,getCastle (  ),getCastle ( KingdomFactory  factory )
ec28b1250d24510ed5c398ed8bddfc48e1262e62,abstract-factory/src/main/java/com/iluwatar/abstractfactory/App.java,getArmy (  ),getArmy ( KingdomFactory  factory )
ec28b1250d24510ed5c398ed8bddfc48e1262e62,front-controller/src/test/java/com/iluwatar/front/controller/CommandTest.java,testDisplay (  ),"testDisplay ( String  request, String  displayMessage )"
ec28b1250d24510ed5c398ed8bddfc48e1262e62,front-controller/src/test/java/com/iluwatar/front/controller/FrontControllerTest.java,testDisplay (  ),"testDisplay ( Command  command, String  displayMessage )"
ec28b1250d24510ed5c398ed8bddfc48e1262e62,front-controller/src/test/java/com/iluwatar/front/controller/ViewTest.java,testDisplay (  ),"testDisplay ( View  view, String  displayMessage )"
6694d742a370e0f181530734481284de8d5dd8ef,front-controller/src/test/java/com/iluwatar/front/controller/CommandTest.java,testDisplay (  ),"testDisplay ( String  request, String  displayMessage )"
6694d742a370e0f181530734481284de8d5dd8ef,front-controller/src/test/java/com/iluwatar/front/controller/FrontControllerTest.java,testDisplay (  ),"testDisplay ( Command  command, String  displayMessage )"
6694d742a370e0f181530734481284de8d5dd8ef,front-controller/src/test/java/com/iluwatar/front/controller/ViewTest.java,testDisplay (  ),"testDisplay ( View  view, String  displayMessage )"
6694d742a370e0f181530734481284de8d5dd8ef,intercepting-filter/src/test/java/com/iluwatar/intercepting/filter/FilterTest.java,testExecute (  ),"testExecute ( Filter  filter, Order  order, String  expectedResult )"
6694d742a370e0f181530734481284de8d5dd8ef,intercepting-filter/src/test/java/com/iluwatar/intercepting/filter/FilterTest.java,testNext (  ),testNext ( Filter  filter )
6694d742a370e0f181530734481284de8d5dd8ef,interpreter/src/test/java/com/iluwatar/interpreter/ExpressionTest.java,testInterpret (  ),"testInterpret ( NumberExpression  first, NumberExpression  second, int  result )"
6694d742a370e0f181530734481284de8d5dd8ef,interpreter/src/test/java/com/iluwatar/interpreter/ExpressionTest.java,testToString (  ),"testToString ( NumberExpression  first, NumberExpression  second )"
6694d742a370e0f181530734481284de8d5dd8ef,interpreter/src/test/java/com/iluwatar/interpreter/NumberExpressionTest.java,testFromString (  ),testFromString ( NumberExpression  first )
6694d742a370e0f181530734481284de8d5dd8ef,iterator/src/test/java/com/iluwatar/iterator/TreasureChestTest.java,testIterator (  ),testIterator ( Item  expectedItem )
6694d742a370e0f181530734481284de8d5dd8ef,iterator/src/test/java/com/iluwatar/iterator/TreasureChestTest.java,testGetItems (  ),testGetItems ( Item  expectedItem )
6694d742a370e0f181530734481284de8d5dd8ef,mediator/src/test/java/com/iluwatar/mediator/PartyMemberTest.java,testPartyAction (  ),testPartyAction ( Supplier  memberSupplier )
6694d742a370e0f181530734481284de8d5dd8ef,mediator/src/test/java/com/iluwatar/mediator/PartyMemberTest.java,testAct (  ),testAct ( Supplier  memberSupplier )
