Commit SHA,Java File,Old function signature,New function signature
10a863eee43c9e13d1647675016b086f527a0697,src/main/java/org/junit/rules/TemporaryFolder.java,newFile (  ),newFile ( String  fileName )
10a863eee43c9e13d1647675016b086f527a0697,src/main/java/org/junit/rules/TemporaryFolder.java,newFolder (  ),newFolder ( String  path )
10a863eee43c9e13d1647675016b086f527a0697,src/main/java/org/junit/rules/TemporaryFolder.java,newFolder (  ),newFolder ( String  paths )
4c6975f955d781ad641e076fe2788a2f4c6ada34,src/main/java/org/junit/rules/TemporaryFolder.java,newFile (  ),newFile ( String  fileName )
4c6975f955d781ad641e076fe2788a2f4c6ada34,src/main/java/org/junit/rules/TemporaryFolder.java,newFolder (  ),newFolder ( String  path )
4c6975f955d781ad641e076fe2788a2f4c6ada34,src/main/java/org/junit/rules/TemporaryFolder.java,newFolder (  ),newFolder ( String  paths )
6973fa1d7e93150ba97846bcf4811161fc1632cb,src/main/java/org/junit/rules/TemporaryFolder.java,newFile (  ),newFile ( String  fileName )
6973fa1d7e93150ba97846bcf4811161fc1632cb,src/main/java/org/junit/rules/TemporaryFolder.java,newFolder (  ),newFolder ( String  path )
6973fa1d7e93150ba97846bcf4811161fc1632cb,src/main/java/org/junit/rules/TemporaryFolder.java,newFolder (  ),newFolder ( String  paths )
b8300f0d035d4cb176cc360e551a13ad8ba5fe21,src/main/java/org/junit/rules/DisableOnDebug.java,isDebugging (  ),isDebugging ( List  arguments )
568424ad3cd9fe1fdd02c4089ceb94dcc53499dd,src/test/java/org/junit/tests/running/classes/ParameterizedTestTest.java,before (  ),"before ( String  x, int  y )"
568424ad3cd9fe1fdd02c4089ceb94dcc53499dd,src/test/java/org/junit/tests/running/classes/ParameterizedTestTest.java,after (  ),"after ( String  x, int  y )"
02c328028b4d32c15bbf0becc9838e54ecbafcbf,src/main/java/org/junit/runner/Request.java,classes ( Class  classes ),"classes ( Computer  computer, Class  classes )"
02c328028b4d32c15bbf0becc9838e54ecbafcbf,src/main/java/org/junit/runners/model/RunnerBuilder.java,runners ( Class [] children ),"runners ( Class  parent, Class [] children )"
02c328028b4d32c15bbf0becc9838e54ecbafcbf,src/main/java/org/junit/runners/model/RunnerBuilder.java,runners ( Class [] children ),"runners ( Class  parent, List  children )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,assertTrue ( boolean  condition ),"assertTrue ( String  message, boolean  condition )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,assertFalse ( boolean  condition ),"assertFalse ( String  message, boolean  condition )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,fail (  ),fail ( String  message )
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( String  message, Object  expected, Object  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( String  message, String  expected, String  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( String  message, double  expected, double  actual, double  delta )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( double  expected, double  actual, double  delta )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( String  message, float  expected, float  actual, float  delta )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( float  expected, float  actual, float  delta )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( String  message, long  expected, long  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( String  message, boolean  expected, boolean  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( String  message, byte  expected, byte  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( String  message, char  expected, char  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( String  message, short  expected, short  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertEquals ( int  expected, int  actual )","assertEquals ( String  message, int  expected, int  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertSame ( Object  expected, Object  actual )","assertSame ( String  message, Object  expected, Object  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/junit/framework/TestCase.java,"assertNotSame ( Object  expected, Object  actual )","assertNotSame ( String  message, Object  expected, Object  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/org/junit/Assert.java,assertTrue ( boolean  condition ),"assertTrue ( String  message, boolean  condition )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/org/junit/Assert.java,assertFalse ( boolean  condition ),"assertFalse ( String  message, boolean  condition )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/org/junit/Assert.java,fail (  ),fail ( String  message )
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/org/junit/Assert.java,"assertEquals ( Object [] expecteds, Object [] actuals )","assertEquals ( String  message, Object  expected, Object  actual )"
f5dda835d2a3ace89fe1d12e2e769cf1cfad198a,src/main/java/org/junit/Assert.java,"assertArrayEquals ( float [] expecteds, float [] actuals, float  delta )","assertArrayEquals ( String  message, double [] expecteds, double [] actuals, double  delta )"
